method,dataset,model,kc,poison_rate,n,clean_acc_mean_pct,clean_acc_std_pct,valid_asr_mean_pct,valid_asr_std_pct,wrong_asr_mean_pct,wrong_asr_std_pct,single_leak_mean_pct,single_leak_std_pct,invalid_leak_mean_pct,invalid_leak_std_pct,csg_mean_pct,csg_std_pct
single,gtsrb,resnet18,4,0.01,3,98.44550013196094,0.16271377821903993,100.0,0.0,0.0,0.0,96.06888361045131,0.009070814914799389,94.40529603237442,0.2389088335748492,3.931116389548691,0.009070814914799389
single,gtsrb,resnet18,4,0.05,3,98.21588809712325,0.31445491704632267,100.0,0.0,0.0,0.0,96.04941937186594,0.033800101647119225,94.62061229875957,1.2647216926455163,3.9505806281340705,0.03380010164711923
single,gtsrb,resnet18,8,0.01,3,98.46925310108209,0.09577855535298815,100.0,0.0,0.0,0.0,96.17511216679863,0.0028138562465711897,94.69663122572861,0.25580825304029897,3.8248878332013736,0.0028138562465711897
single,gtsrb,resnet18,8,0.05,3,98.52995513328054,0.20253317543362098,100.0,0.0,0.0,0.0,96.17412245975191,0.000571407629840848,95.11367492365116,0.2899578990702949,3.8258775402480905,0.000571407629840848
single,gtsrb,vgg11,4,0.01,3,96.8091844813935,0.33517039570097656,100.0,0.0,0.0,0.0,96.0121404064397,0.07102714061543845,94.40265681358318,0.37399947404450046,3.9878595935603056,0.07102714061543845
single,gtsrb,vgg11,4,0.05,3,96.59012932172077,0.3052493573317731,100.0,0.0,0.0,0.0,96.03787278965426,0.05124860709720461,94.97030878859857,0.5001332666199803,3.9621272103457374,0.05124860709720461
single,gtsrb,vgg11,8,0.01,3,96.77487463710742,0.15722745852316436,100.0,0.0,0.0,0.0,95.76553840063342,0.028184938372717752,95.2154262338348,0.4095335706728627,4.234461599366587,0.028184938372717745
single,gtsrb,vgg11,8,0.05,3,96.32092900501452,0.20438189386697714,100.0,0.0,0.0,0.0,96.15894695170229,0.011153431977021854,95.26477019944953,0.2758983656262815,3.841053048297701,0.011153431977021856
wo_invalid,cifar10,resnet18,4,0.01,3,93.98333333333332,0.08504900548115077,99.74722222222222,0.05023094811118642,0.21481481481481482,0.061195228303178924,1.99625,0.22431492928470004,19.930833333333332,3.0635363325919784,79.8163888888889,3.0313707402452104
wo_invalid,cifar10,resnet18,4,0.05,3,94.04666666666667,0.06506407098648104,99.9888888888889,0.007349309197403628,0.011111111111111113,0.011111111111111112,1.1704166666666667,0.0666419224912767,20.840555555555554,16.216472620741516,79.14833333333334,16.21446274658811
wo_invalid,cifar10,resnet18,8,0.01,3,93.63,0.29816103031750657,99.29675925925926,0.35082666191128453,1.2703703703703704,0.6520938103130253,5.255833333333334,0.35590023034318674,28.02708333333333,3.3730927922485385,71.26967592592592,3.035501512821257
wo_invalid,cifar10,resnet18,8,0.05,3,93.93333333333334,0.03214550253663964,99.96157407407406,0.01181236187238219,0.07777777777777778,0.029397236789606564,2.839375,0.09016477970915254,23.331904761904767,1.118425864190593,76.6296693121693,1.1256216271178003
